Date,Open,High,Low,Close,Adj Close,Volume
2016-09-30,7.400000,7.550000,7.320000,7.530000,7.530000,61400
2016-10-03,7.550000,7.720000,7.490000,7.710000,7.710000,7500
2016-10-04,7.550000,7.720000,7.550000,7.650000,7.650000,15300
2016-10-05,7.650000,7.690000,7.410000,7.470000,7.470000,48200
2016-10-06,7.490000,7.490000,7.370000,7.470000,7.470000,5900
2016-10-07,7.500000,7.500000,7.300000,7.300000,7.300000,5030800
2016-10-10,7.310000,7.430000,7.150000,7.360000,7.360000,77300
2016-10-11,7.320000,7.380000,7.150000,7.150000,7.150000,44600
2016-10-13,7.170000,7.230000,7.150000,7.150000,7.150000,8400
2016-10-14,7.190000,7.630000,7.160000,7.430000,7.430000,73900
2016-10-17,7.470000,7.490000,7.390000,7.400000,7.400000,47500
2016-10-18,7.410000,7.460000,7.330000,7.330000,7.330000,14700
2016-10-19,7.440000,7.450000,7.060000,7.060000,7.060000,15600
2016-10-20,7.130000,7.390000,7.060000,7.390000,7.390000,57000
2016-10-21,7.310000,7.400000,7.260000,7.400000,7.400000,59400
2016-10-24,7.390000,7.390000,7.250000,7.250000,7.250000,23000
2016-10-25,7.260000,7.350000,7.200000,7.350000,7.350000,13300
2016-10-26,7.310000,7.320000,7.080000,7.270000,7.270000,18400
2016-10-27,7.200000,7.370000,7.200000,7.370000,7.370000,49200
2016-10-28,7.230000,7.670000,7.230000,7.500000,7.500000,97200
2016-10-31,7.510000,7.950000,7.510000,7.750000,7.750000,110800
2016-11-01,7.920000,8.140000,7.450000,7.600000,7.600000,128700
2016-11-03,7.640000,7.640000,6.850000,6.850000,6.850000,155600
2016-11-04,6.880000,6.890000,6.670000,6.700000,6.700000,36400
2016-11-07,7.100000,7.170000,6.840000,7.000000,7.000000,628100
2016-11-08,7.000000,7.170000,6.650000,6.650000,6.650000,38900
2016-11-09,6.550000,6.800000,6.300000,6.410000,6.410000,50100
2016-11-10,6.540000,6.730000,6.000000,6.490000,6.490000,96200
2016-11-11,6.500000,6.550000,6.090000,6.450000,6.450000,57600
2016-11-14,6.460000,6.660000,6.310000,6.490000,6.490000,15100
2016-11-16,6.490000,6.650000,6.350000,6.380000,6.380000,21800
2016-11-17,6.550000,6.770000,6.450000,6.490000,6.490000,45200
2016-11-18,6.680000,7.010000,6.340000,6.360000,6.360000,88200
2016-11-21,6.480000,6.700000,6.480000,6.600000,6.600000,46000
2016-11-22,6.600000,6.930000,6.520000,6.640000,6.640000,493800
2016-11-23,6.600000,6.690000,6.360000,6.550000,6.550000,79700
2016-11-24,6.550000,6.720000,6.390000,6.390000,6.390000,39200
2016-11-25,6.390000,6.600000,6.390000,6.440000,6.440000,51800
2016-11-28,6.460000,6.560000,6.350000,6.360000,6.360000,12700
2016-11-29,6.400000,6.400000,6.200000,6.370000,6.370000,29900
2016-11-30,6.450000,6.460000,6.200000,6.200000,6.200000,98100
2016-12-01,6.170000,6.510000,6.020000,6.150000,6.150000,54200
2016-12-02,6.280000,6.500000,6.100000,6.220000,6.220000,43100
2016-12-05,6.260000,6.260000,5.920000,6.040000,6.040000,157600
2016-12-06,6.030000,6.170000,5.960000,6.160000,6.160000,161800
2016-12-07,6.160000,6.180000,5.750000,6.180000,6.180000,60600
2016-12-08,6.140000,6.320000,6.010000,6.250000,6.250000,61700
2016-12-09,6.260000,6.300000,6.170000,6.300000,6.300000,14700
2016-12-12,6.290000,6.300000,6.210000,6.270000,6.270000,582100
2016-12-13,6.270000,6.660000,6.260000,6.470000,6.470000,443100
2016-12-14,6.450000,6.630000,6.370000,6.630000,6.630000,15700
2016-12-15,6.570000,6.600000,6.340000,6.440000,6.440000,15800
2016-12-16,6.480000,6.480000,6.150000,6.170000,6.170000,32700
2016-12-19,6.170000,6.290000,5.760000,5.760000,5.760000,969100
2016-12-20,5.810000,5.920000,5.810000,5.900000,5.900000,25200
2016-12-21,6.000000,6.000000,6.000000,6.000000,6.000000,18700
2016-12-22,5.910000,6.060000,5.680000,5.840000,5.840000,55300
2016-12-23,5.850000,6.000000,5.850000,5.950000,5.950000,24400
2016-12-26,5.860000,6.160000,5.860000,6.000000,6.000000,21700
2016-12-27,6.090000,6.160000,5.820000,5.850000,5.850000,57700
2016-12-28,6.020000,6.020000,5.850000,5.850000,5.850000,14000
2016-12-29,6.130000,6.140000,5.900000,5.960000,5.960000,415200
2017-01-02,5.960000,6.380000,5.900000,6.380000,6.380000,35300
2017-01-03,6.300000,6.440000,6.240000,6.440000,6.440000,50700
