Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,15.600000,16.100000,15.600000,16.000000,16.000000,2320900
2020-02-13,15.840000,15.960000,15.470000,15.890000,15.890000,729000
2020-02-14,15.990000,16.040001,15.650000,15.890000,15.890000,540700
2020-02-17,15.890000,16.090000,15.750000,16.049999,16.049999,384200
2020-02-18,15.980000,16.990000,15.800000,16.889999,16.889999,4553800
2020-02-19,16.790001,17.680000,16.790001,17.100000,17.100000,5335200
2020-02-20,17.100000,17.389999,16.950001,17.299999,17.299999,1537600
2020-02-21,17.059999,17.500000,16.840000,17.500000,17.500000,1940300
2020-02-26,null,null,null,null,null,null
2020-02-27,15.890000,16.240000,15.380000,15.790000,15.790000,1056800
2020-02-28,15.500000,15.660000,14.750000,15.250000,15.250000,4912800
2020-03-02,15.150000,15.790000,15.110000,15.700000,15.700000,1133700
2020-03-03,15.810000,16.040001,15.550000,15.650000,15.650000,2555600
2020-03-04,15.820000,16.600000,15.430000,15.990000,15.990000,1267100
2020-03-05,15.950000,16.020000,14.430000,14.500000,14.500000,2239700
2020-03-06,14.360000,14.360000,13.010000,13.360000,13.360000,2834700
2020-03-09,12.560000,12.570000,11.700000,11.850000,11.850000,1654500
2020-03-10,12.660000,12.660000,11.580000,12.610000,12.610000,1791400
2020-03-11,12.500000,12.500000,11.040000,12.240000,12.240000,1259700
2020-03-12,10.860000,10.860000,9.560000,10.000000,10.000000,1914300
2020-03-13,11.330000,11.700000,9.900000,10.900000,10.900000,3278100
2020-03-16,9.730000,9.730000,8.250000,8.250000,8.250000,1319600
2020-03-17,8.320000,8.500000,7.500000,7.550000,7.550000,4217900
2020-03-18,7.300000,7.300000,4.990000,5.300000,5.300000,3396400
2020-03-19,4.990000,6.540000,4.670000,6.000000,6.000000,1359900
2020-03-20,6.850000,7.100000,6.280000,6.350000,6.350000,2218000
2020-03-23,6.250000,6.250000,5.260000,6.000000,6.000000,3156900
2020-03-24,6.400000,7.040000,6.290000,6.500000,6.500000,2793300
2020-03-25,6.500000,7.480000,6.120000,7.040000,7.040000,4465900
2020-03-26,7.060000,8.350000,6.870000,7.500000,7.500000,4787500
2020-03-27,7.200000,7.760000,6.910000,7.210000,7.210000,2563900
2020-03-30,7.300000,7.600000,7.000000,7.100000,7.100000,3135400
2020-03-31,7.100000,7.170000,6.530000,6.700000,6.700000,3152400
2020-04-01,6.440000,6.440000,5.750000,5.750000,5.750000,2644300
2020-04-02,5.900000,6.320000,5.820000,6.040000,6.040000,2769000
2020-04-03,6.120000,6.230000,5.530000,6.090000,6.090000,3057300
2020-04-06,6.550000,6.900000,6.150000,6.800000,6.800000,2488400
2020-04-07,7.390000,8.560000,7.210000,8.010000,8.010000,4216400
2020-04-08,8.100000,9.450000,7.810000,8.700000,8.700000,3820500
2020-04-09,8.860000,9.440000,8.420000,8.600000,8.600000,2853400
2020-04-13,8.590000,8.840000,8.330000,8.500000,8.500000,2400700
2020-04-14,8.690000,9.340000,8.400000,8.400000,8.400000,1715400
2020-04-15,8.400000,9.100000,8.210000,9.100000,9.100000,2783600
2020-04-16,9.310000,9.640000,9.060000,9.350000,9.350000,3481800
2020-04-17,9.640000,9.740000,9.000000,9.090000,9.090000,1727200
2020-04-20,8.850000,9.360000,8.620000,9.240000,9.240000,1598000
2020-04-22,9.360000,10.130000,9.350000,9.800000,9.800000,2037400
2020-04-23,10.000000,10.370000,9.010000,9.100000,9.100000,2991500
2020-04-24,8.990000,9.020000,7.790000,7.940000,7.940000,2904600
2020-04-27,8.650000,8.670000,7.960000,8.000000,8.000000,2360400
2020-04-28,8.410000,9.190000,8.320000,8.800000,8.800000,3772700
2020-04-29,9.210000,10.000000,9.010000,9.950000,9.950000,3867700
2020-04-30,9.720000,9.990000,9.360000,9.450000,9.450000,4677300
2020-05-04,9.100000,9.320000,8.800000,8.990000,8.990000,1637500
2020-05-05,9.350000,9.590000,8.610000,8.610000,8.610000,2603100
2020-05-06,8.650000,8.890000,8.240000,8.540000,8.540000,2058000
2020-05-07,8.710000,8.840000,8.000000,8.080000,8.080000,3624800
2020-05-08,8.200000,8.270000,7.640000,7.720000,7.720000,2436600
2020-05-11,7.700000,7.700000,7.310000,7.330000,7.330000,2505400
2020-05-12,7.340000,7.870000,7.000000,7.090000,7.090000,2413600
2020-05-13,7.210000,7.420000,6.490000,6.540000,6.540000,4657600
2020-05-14,6.430000,6.750000,6.220000,6.640000,6.640000,4161800
2020-05-15,6.600000,7.250000,6.390000,6.600000,6.600000,4143200
2020-05-18,7.050000,7.480000,6.830000,7.400000,7.400000,4121800
